"Title","Genre","Director","Writer","Actors","View Rating"
"Family Guy","Animation",NA,"David Zuckerman","Mila Kunis","TV-14"
"The League of Extraordinary Gentlemen","Action","Stephen Norrington","Alan Moore","Sean Connery","PG-13"
"Lemony Snickets A Series of Unfortunate Events","Adventure","Brad Silberling","Robert Gordon","Jim Carrey","PG"
"Sleeping with the Enemy","Drama","Joseph Ruben","Nancy Price","Patrick Bergin","R"
"Elizabethtown","Comedy","Cameron Crowe","Cameron Crowe","Alec Baldwin","PG-13"
"Event Horizon","Horror","Paul W.S. Anderson","Philip Eisner","Laurence Fishburne","R"
"Eye for an Eye","Crime","John Schlesinger","Erika Holzer","Sally Field","R"
"Eagle Eye","Action","D.J. Caruso","John Glenn","Michael Chiklis","PG-13"
"What to Expect When Youre Expecting","Comedy","Kirk Jones","Heather Hach","Chace Crawford","PG-13"
"Rise of the Guardians","Animation","Peter Ramsey","David Lindsay-Abaire","Chris Pine","PG"
"The Godfather","Crime","Francis Ford Coppola","Mario Puzo","Richard S. Castellano","R"
"Dragon: The Bruce Lee Story","Action","Rob Cohen","Linda Lee Cadwell","Robert Wagner","PG-13"
"Disturbia","Crime","D.J. Caruso","Christopher Landon","Shia LaBeouf","PG-13"
"Hotel for Dogs","Comedy","Thor Freudenthal","Jeff Lowell","Don Cheadle","PG"
"Get Rich or Die Tryin","Biography","Jim Sheridan","Terence Winter","Adewale Akinnuoye-Agbaje","R"
"John Tucker Must Die","Comedy","Betty Thomas","Jeff Lowell","Brittany Snow","PG-13"
"Dawn of the Dead","Action","Zack Snyder","James Gunn","Jake Weber","R"
"Transformers: Dark of the Moon","Action","Michael Bay","Ehren Kruger","Rosie Huntington-Whiteley","PG-13"
"Miracle","Biography","Gavin O'Connor","Eric Guggenheim","Sean McCann","PG"
"Definitely, Maybe","Comedy","Adam Brooks","Adam Brooks","Rick Derby","PG-13"
"How to Train Your Dragon","Animation","Dean DeBlois","Marc Hyman","Gerard Butler","PG"
"Despicable Me","Animation","Pierre Coffin","Cinco Paul","Steve Carell","PG"
"World Trade Center","Drama","Oliver Stone","Andrea Berloff","Nicolas Cage","PG-13"
"The Spiderwick Chronicles","Action","Mark Waters","Karey Kirkpatrick","Freddie Highmore","PG"
"Once Upon a Time in the West","Western","Sergio Leone","Bernardo Bertolucci","Henry Fonda","PG-13"
"Cowboys and Aliens","Action","Jon Favreau","Alex Kurtzman","Matthew Taylor","PG-13"
"Coach Carter","Biography","Thomas Carter","Mark Schwahn","Samuel L. Jackson","PG-13"
"Collateral","Crime","Michael Mann","Stuart Beattie","Tom Cruise","R"
"Coming to America","Comedy","John Landis","David Sheffield","Paul Bates","R"
"What Dreams May Come","Drama","Vincent Ward","Richard Matheson","Max von Sydow","PG-13"
"Tomb Raider","Action","Roar Uthaug","Geneva Robertson-Dworet","Alicia Vikander","PG-13"
"Chicken Little","Animation","Mark Dindal","Mark Dindal","Zach Braff","G"
"Catch Me If You Can","Biography","Steven Spielberg","Frank Abagnale Jr.","Martin Sheen","PG-13"
"The Cabin in the Woods","Horror","Drew Goddard","Joss Whedon","Kristen Connolly","R"
"Cloverfield","Action","Matt Reeves","Drew Goddard","T.J. Miller","PG-13"
"Nitro Circus: The Movie","Documentary","Jeremy Rawle","Jeremy Rawle","Jolene Van Vugt","PG-13"
"White Collar","Comedy",NA,"Jeff Eastin","Willie Garson","TV-PG"
"Wild Child","Adventure","Nick Moore","Lucy Dahl","Shelby Young","PG-13"
"How I Met Your Mother","Comedy",NA,"Carter Bays","Josh Radnor","TV-14"
"Criminal Minds","Crime",NA,"Jeff Davis","A.J. Cook","TV-14"
"Big Miracle","Biography","Ken Kwapis","Jack Amiel","Ahmaogak Sweeney","PG"
"Backdraft","Action","Ron Howard","Gregory Widen","Donald Sutherland","R"
"Borat","Comedy","Larry Charles","Sacha Baron Cohen","Chester","R"
"The Breakfast Club","Comedy","John Hughes","John Hughes","Emilio Estevez","R"
"Billy Madison","Comedy","Tamra Davis","Adam Sandler","Darren McGavin","PG-13"
"Barnyard","Animation","Steve Oedekerk","Steve Oedekerk","Courteney Cox","PG"
"The Bourne Legacy","Action","Tony Gilroy","Dan Gilroy","Edward Norton","PG-13"
"Bean: The Movie","Adventure","Mel Smith","Robin Driscoll","Peter MacNicol","PG-13"
"Back to the Future","Adventure","Robert Zemeckis","Bob Gale","Michael J. Fox","PG"
"The Lovely Bones","Drama","Peter Jackson","Peter Jackson","Stanley Tucci","PG-13"
"Puss in Boots","Animation","Chris Miller","Tom Wheeler","Salma Hayek","PG"
"Prison Break","Action",NA,"Paul T. Scheuring","Dominic Purcell","TV-14"
"The Bourne Identity","Action","Doug Liman","W. Blake Herron","Matt Damon","PG-13"
"The Bourne Ultimatum","Action","Paul Greengrass","Tony Gilroy","Matt Damon","PG-13"
"Barbie: Princess Charm School","Animation","Ezekiel Norton","Elise Allen","Diana Kaarina","TV-Y"
"The SpongeBob SquarePants Movie","Animation","Stephen Hillenburg","Stephen Hillenburg","Bill Fagerbakke","PG"
"The Bourne Supremacy","Action","Paul Greengrass","Tony Gilroy","Matt Damon","PG-13"
"Bates Motel","Drama",NA,"Carlton Cuse","Freddie Highmore","TV-MA"
"Up in the Air","Comedy","Jason Reitman","Sheldon Turner","George Clooney","R"
"Anchorman: The Legend of Ron Burgundy","Comedy","Adam McKay","Will Ferrell","Christina Applegate","PG-13"
"Airplane!","Comedy","Jerry Zucker","Jerry Zucker","Lloyd Bridges","PG"
"Dodgeball: A True Underdog Story","Comedy","Rawson Marshall Thurber","Rawson Marshall Thurber","Vince Vaughn","PG-13"
"Breakfast at Tiffanys","Comedy","Blake Edwards","George Axelrod","George Peppard","Approved"
"Along Came a Spider","Drama","Lee Tamahori","James Patterson","Michael Wincott","R"
"Atonement","Drama","Joe Wright","Ian McEwan","Julia West","R"
"Addams Family Values","Comedy","Barry Sonnenfeld","Charles Addams","Joan Cusack","PG-13"
"The Americans","Crime",NA,"Joseph Weisberg","Keidrich Sellati","TV-MA"
"I Am","Documentary","Sonali Gulati",NA,"Sonali Gulati","PG-13"
"Anna Karenina","Drama","Joe Wright","Tom Stoppard","Eric MacLennan","R"
"Alvin and the Chipmunks Meet Frankenstein","Animation","Kathi Castillo","John Loy","Jim Meskimen","G"
"Flushed Away","Animation","David Bowers","Peter Lord","Hugh Jackman","PG"
"American Beauty","Drama","Sam Mendes","Alan Ball","Wes Bentley","R"
"Accepted","Comedy","Steve Pink","Bill Collage","Adam Herschman","PG-13"
"Anastasia","Animation","Don Bluth","Bob Tzudiker","Meg Ryan","G"
"Shrek Forever After","Animation","Mike Mitchell","William Steig","Mike Myers","PG"
"A Lot Like Love","Comedy","Nigel Cole","Colin Patrick Lynch","Aimee Garcia","PG-13"
"Jackass: The Movie","Documentary","Jeff Tremaine","Preston Lacy","Steve-O","R"
"Marvels Agents of S.H.I.E.L.D.","Action",NA,"Jed Whedon","Ming-Na Wen","TV-PG"
"Bring It On: All or Nothing","Comedy","Steve Rash","Alyson Fouse","Jake McDorman","PG-13"
"Snow White and the Huntsman","Action","Rupert Sanders","Hossein Amini","Chris Hemsworth","PG-13"
"Pride and Prejudice","Drama","Joe Wright","Jane Austen","Talulah Riley","PG"
"Sons of Anarchy","Crime",NA,"Kurt Sutter","Mark Boone Junior","TV-MA"
"The Princess and the Frog","Animation","John Musker","Rob Edwards","Keith David","G"
"A Thousand Words","Comedy","Brian Robbins","Steve Koren","Jill Basey","PG-13"
"Once Upon a Time","Adventure",NA,"Edward Kitsis","Jennifer Morrison","TV-PG"
"Greys Anatomy","Drama",NA,"Shonda Rhimes","Chandra Wilson","TV-14"
"No Strings Attached","Comedy","Ivan Reitman","Elizabeth Meriwether","Cary Elwes","R"
"Arrested Development","Comedy",NA,"Mitchell Hurwitz","Portia de Rossi","TV-14"
"American Horror Story","Drama",NA,"Brad Falchuk","Sarah Paulson","TV-MA"
"Super 8","Mystery","J.J. Abrams","J.J. Abrams","Jessica Tuck","PG-13"
"8 Mile","Drama","Curtis Hanson","Scott Silver","Brittany Murphy","R"
"The Five-Year Engagement","Comedy","Nicholas Stoller","Jason Segel","Alison Brie","R"
"Fast Five","Action","Justin Lin","Gary Scott Thompson","Paul Walker","PG-13"
"This Is 40","Comedy","Judd Apatow","Judd Apatow","Maude Apatow","R"
"The Godfather: Part III","Crime","Francis Ford Coppola","Mario Puzo","Talia Shire","R"
"Mission: Impossible III","Action","J.J. Abrams","J.J. Abrams","Philip Seymour Hoffman","PG-13"
"Back to the Future Part III","Adventure","Robert Zemeckis","Bob Gale","Michael J. Fox","PG"
"American Wedding","Comedy","Jesse Dylan","Adam Herz","Eddie Kaye Thomas","R"
"Paranormal Activity 3","Horror","Henry Joost","Christopher Landon","Lauren Bittner","R"
"Shrek the Third","Animation","Raman Hui","William Steig","Mike Myers","PG"
"The Fast and the Furious: Tokyo Drift","Action","Justin Lin","Chris Morgan","Trula M. Marcus","PG-13"
"Madagascar 3: Europes Most Wanted","Animation","Tom McGrath","Alejandro Bien-Willner","David Schwimmer","PG"
"Step Up 3","Drama","Jon M. Chu","Duane Adler","Rick Malambri","PG-13"
"Charlottes Web (2006)","Adventure","Gary Winick","Karey Kirkpatrick","Steve Buscemi","G"
"Mission: Impossible II","Action","John Woo","Ronald D. Moore","Tom Cruise","PG-13"
"The Godfather: Part II","Crime","Francis Ford Coppola","Francis Ford Coppola","Robert Duvall","R"
"Paranormal Activity 2","Horror","Tod Williams","Christopher Landon","Brian Boland","R"
"Transporter 2","Action","Louis Leterrier","Luc Besson","Kate Nauta","PG-13"
"Back to the Future Part II","Adventure","Robert Zemeckis","Bob Gale","Michael J. Fox","PG"
"Kung Fu Panda 2","Animation","Jennifer Yuh Nelson","Glenn Berger","Gary Oldman","PG"
"Madagascar: Escape 2 Africa","Animation","Tom McGrath","Tom McGrath","David Schwimmer","PG"
"Transformers: Revenge of the Fallen","Action","Michael Bay","Ehren Kruger","Megan Fox","PG-13"
"Iron Man 2","Action","Jon Favreau","Don Heck","Don Cheadle","PG-13"
"War of the Worlds (2005)","Adventure","Steven Spielberg","Josh Friedman","Tom Cruise","PG-13"
"24","Action",NA,"Robert Cochran","Mary Lynn Rajskub","TV-14"
"Sofia the First","Animation","Jamie Mitchell","Craig Gerber","Ariel Winter","TV-Y"
"Friday the 13th: Part 7: The New Blood","Horror","John Carl Buechler","Manuel Fidello","Jennifer Banko","R"
"Friday the 13th","Horror","Marcus Nispel","Victor Miller","Jared Padalecki","R"
"How to Lose a Guy in 10 Days","Comedy","Donald Petrie","Brian Regan","Kate Hudson","PG-13"
"12 Monkeys","Mystery","Terry Gilliam","David Webb Peoples","Bruce Willis","R"
"Turistas","Horror","John Stockwell","Michael Arlen Ross","Desmond Askew","R"
"Triangle","Fantasy","Christopher Smith","Christopher Smith","Melissa George","R"
"Shrek the Musical","Comedy","Michael John Warren","William Steig","Christopher Sieber","TV-G"
"xXx","Action","Rob Cohen","Rich Wilkes","Samuel L. Jackson","PG-13"
"Trailer Park Boys: Xmas Special","Comedy","Mike Clattenburg","Mike Clattenburg","Lucy Decoutere",NA
"There Will Be Blood","Drama","Paul Thomas Anderson","Paul Thomas Anderson","Martin Stringer","R"
"The Wrestler","Drama","Darren Aronofsky","Robert Siegel","Evan Rachel Wood","R"
"Wild Target","Action","Jonathan Lynn","Pierre Salvadori","Rupert Everett","PG-13"
"Warrior","Action","Gavin O'Connor","Cliff Dorfman","Jennifer Morrison","PG-13"
"Valkyrie","Drama","Bryan Singer","Nathan Alexander","Bill Nighy","PG-13"
"Vampires","Action","John Carpenter","John Steakley","James Woods","R"
"Victorious","Comedy",NA,"Dan Schneider","Victoria Justice","TV-G"
"Untraceable","Crime","Gregory Hoblit","Mark Brinker","Colin Hanks","R"
"Troy","Drama","Wolfgang Petersen","Homer","Nathan Jones","R"
"Walking Tall","Action","Kevin Bray","David Levien","Dwayne Johnson","PG-13"
"The Ugly Truth","Comedy","Robert Luketic","Karen McCullah","Katherine Heigl","R"
"Teen Wolf","Action",NA,"Jeff Davis","Tyler Posey","TV-14"
"Transcendence","Action","Wally Pfister","Jack Paglen","Paul Bettany","PG-13"
"We Were Soldiers","Action","Randall Wallace","Randall Wallace","Mel Gibson","R"
"The Smurfs","Animation",NA,"Peyo","Danny Goldman","TV-Y"
"Stripes","Comedy","Ivan Reitman","Daniel Goldberg","Bill Murray","R"
"Secret Window","Drama","David Koepp","Stephen King","Timothy Hutton","PG-13"
"Trainspotting","Drama","Danny Boyle","John Hodge","Jonny Lee Miller","R"
"The Wedding Singer","Comedy","Frank Coraci","Tim Herlihy","Christine Taylor","PG-13"
"Stomp the Yard","Drama","Sylvain White","Gregory Ramon Anderson","Columbus Short","PG-13"
"StreetDance","Drama","Max Giwa","Jane English","Richard Winsor","PG-13"
"Surfs Up","Animation","Chris Buck","Christian Darren","Shia LaBeouf","PG"
"The Secret","Documentary","Drew Heriot","Rhonda Byrne","Loral Langemeier","PG"
"Totally Spies!","Animation",NA,"David Michel","Andrea Baker","TV-Y7"
"Step Up","Crime","Anne Fletcher","Duane Adler","De'Shawn Washington","PG-13"
"Snatch","Comedy","Guy Ritchie","Guy Ritchie","Vinnie Jones","R"
"Serendipity","Comedy","Peter Chelsom","Marc Klein","Kate Beckinsale","PG-13"
"Shame","Drama","Steve McQueen","Steve McQueen","James Badge Dale","NC-17"
"The Switch","Comedy","Josh Gordon","Allan Loeb","Jennifer Aniston","PG-13"
"Superbad","Comedy","Greg Mottola","Seth Rogen","Christopher Mintz-Plasse","R"
"Sherlock","Crime",NA,"Mark Gatiss","Martin Freeman","TV-14"
"Sinister","Horror","Scott Derrickson","Scott Derrickson","James Ransone","R"
"Supernatural","Drama",NA,"Eric Kripke","Jared Padalecki","TV-14"
"Skins","Drama",NA,"Bryan Elsley","Joe Dempsie","TV-MA"
"Spartacus","Action",NA,"Steven S. DeKnight","Manu Bennett","TV-MA"
"The Raven","Crime","James McTeigue","Ben Livingston","Luke Evans","R"
"Ripper Street","Crime",NA,"Richard Warlow","Adam Rothenberg","TV-MA"
"Would You Rather","Horror","David Guy Levy","Steffen Schlachtenhaufen","Jeffrey Combs","NotRated"
"Space Racers","Animation",NA,"Allan Neuwirth","Phil Lollar","TV-Y"
"Radio Rebel","Comedy","Peter Howitt","Danielle Joseph","Adam DiMarco","TV-G"
"Red State","Action","Kevin Smith","Kevin Smith","Deborah Aquila","R"
"Rogue","Action","Greg McLean","Greg McLean","Michael Vartan","R"
"RED","Action","Robert Schwentke","Jon Hoeber","Bruce Willis","PG-13"
"Richie Rich","Comedy","Donald Petrie","Jim Jennewein","Macaulay Culkin","PG"
"Rocky","Drama","John G. Avildsen","Sylvester Stallone","Sylvester Stallone","PG"
"Regular Show","Animation",NA,"J.G. Quintel","Mark Hamill","TV-PG"
"What Women Want","Comedy","Nancy Meyers","Diane Drake","Mel Gibson","PG-13"
"The Mothman Prophecies","Drama","Mark Pellington","Richard Hatem","Richard Gere","PG-13"
"Vantage Point","Action","Pete Travis","Barry L. Levy","Matthew Fox","PG-13"
"The Patriot","Action","Roland Emmerich","Robert Rodat","Mel Gibson","R"
"The Punisher","Action","Jonathan Hensleigh","Michael France","Mark Collie","R"
"Premonition","Drama","Mennan Yapo","Bill Kelly","Sandra Bullock","PG-13"
"Panic Room","Crime","David Fincher","David Koepp","Dwight Yoakam","R"
"Perfect Stranger","Crime","James Foley","Todd Komarnicki","Bruce Willis","R"
"The Painted Veil","Drama","John Curran","Ron Nyswaner","Bin Li","PG-13"
"Platoon","Drama","Oliver Stone","Oliver Stone","Keith David","R"
"Pi","Drama","Darren Aronofsky","Sean Gullette","Sean Gullette","R"
"Pajanimals","Family",NA,"Jeff Muncy","Victor Yerrid","TV-G"
"Peter Pan","Adventure","P.J. Hogan","Michael Goldenberg","Jeremy Sumpter","PG"
"Priest","Action","Scott Stewart","Min-Woo Hyung","Paul Bettany","PG-13"
"Pingu","Animation",NA,NA,"David Sant","TV-G"
"The Possession","Horror","Ole Bornedal","Stiles White","Natasha Calis","PG-13"
"Paddington","Adventure","Paul King","Hamish McColl","Madeleine Worrall","PG"
"Pocoyo","Animation",NA,"Guillermo Garcia","Stephen Fry","TV-Y"
"Tears of the Sun","Action","Antoine Fuqua","Patrick Cirillo","Bruce Willis","R"
"XXX: State of the Union","Action","Lee Tamahori","Rich Wilkes","Willem Dafoe","PG-13"
"Season of the Witch","Action","Dominic Sena","Bragi F. Schut","Nicolas Cage","PG-13"
"Open Season","Animation","Roger Allers","Anthony Stacchi","Gary Sinise","PG"
"Walk of Shame","Comedy","Steven Brill","Steven Brill","Gillian Jacobs","R"
"The Originals","Drama",NA,"Julie Plec","Daniel Gillies","TV-14"
"Prom Night","Horror","Nelson McCormick","J.S. Cardone","Brittany Snow","PG-13"
"Nicky Deuce","Comedy","Jonathan A. Rosenbaum","Art Edler Brown","Rita Moreno","NotRated"
"National Lampoons Christmas Vacation","Comedy","Jeremiah S. Chechik","John Hughes","Johnny Galecki","PG-13"
"Ninja","Action","Isaac Florentine","Michael Hurst","Mika Hijii","R"
"National Security","Action","Dennis Dugan","Jay Scherick","Steve Zahn","PG-13"
"Russell Peters: Notorious","Comedy","David Higby","Russell Peters","Russell Peters",NA
"The Battered Bastards of Baseball","Documentary","Chapman Way",NA,"Kurt Russell",NA
"Z Nation","Action",NA,"Craig Engler","Russell Hodgkinson","TV-14"
"Naruto","Animation",NA,"Masashi Kishimoto","Kate Higgins","TV-Y7-FV"
"Naruto Shippuden","Animation",NA,"Masashi Kishimoto","Kate Higgins","TV-PG"
"The Medallion","Action","Gordon Chan","Paul Wheeler","Jackie Chan","PG-13"
"The Mist","Horror","Frank Darabont","Frank Darabont","Marcia Gay Harden","R"
"Marc Maron: Thinky Pain","Comedy","Lance Bangs","Marc Maron","Sam Lipsyte","NotRated"
"Rain Man","Drama","Barry Levinson","Barry Morrow","Dustin Hoffman","R"
"Teenage Mutant Ninja Turtles: The Movie","Action","Steve Barron","Bobby Herbeck","Elias Koteas","PG"
"Middle of Nowhere","Drama","Ava DuVernay","Ava DuVernay","Emayatzy Corinealdi","R"
"The Musketeers","Adventure",NA,"Adrian Hodges","Santiago Cabrera","TV-14"
"Mystic Pizza","Comedy","Donald Petrie","Alfred Uhry","Annabeth Gish","R"
"My Own Man","Documentary","David Sampliner","David Sampliner",NA,NA
"Superman Returns","Action","Bryan Singer","Bryan Singer","Brandon Routh","PG-13"
"Madeline","Comedy","Daisy von Scherler Mayer","Ludwig Bemelmans","Ben Daniels","PG"
"Mitt","Documentary","Greg Whiteley","Greg Whiteley","Mitt Romney",NA
"Spider-Man","Action","Sam Raimi","Stan Lee","Willem Dafoe","PG-13"
"Mighty Morphin Power Rangers","Action",NA,"Shuki Levy","Richard Steven Horvitz","TV-Y7"
"The Spectacular Spider-Man","Animation",NA,"Stan Lee","Lacey Chabert","TV-Y7"
"Scary Movie","Comedy","Keenen Ivory Wayans","Aaron Seltzer","Carmen Electra","R"
"Matilda","Comedy","Danny DeVito","Robin Swicord","Mara Wilson","PG"
"Mister Maker","Family",NA,NA,"Phil Gallagher",NA
"Magic Mike","Comedy","Steven Soderbergh","Reid Carolin","Alex Pettyfer","R"
"Merlin","Adventure",NA,"Johnny Capps","Bradley James","TV-PG"
"Print the Legend","Documentary","Clay Tweel","Clay Tweel","Craig Broady",NA
"The Losers","Action","Sylvain White","Andy Diggle","Chris Evans","PG-13"
"Lord of War","Action","Andrew Niccol","Andrew Niccol","Nicolas Cage","R"
"Luther","Crime",NA,"Neil Cross","Michael Smiley","TV-MA"
"Legion","Action","Scott Stewart","Peter Schink","Paul Bettany","R"
"Van Wilder: Party Liaison","Comedy","Walt Becker","David Wagner","Tim Matheson","R"
"The Little Lulu Show","Animation",NA,NA,"Dawn Ford","TV-Y"
"Little Man","Comedy","Keenen Ivory Wayans","Marlon Wayans","John Witherspoon","PG-13"
"Labour Pains","Comedy","Lara Shapiro","Stacey Kramer","Lindsay Lohan","PG-13"
"Looper","Action","Rian Johnson","Rian Johnson","Joseph Gordon-Levitt","R"
"Zombieland","Adventure","Ruben Fleischer","Paul Wernick","Abigail Breslin","R"
"Lone Survivor","Action","Peter Berg","Marcus Luttrell","Emile Hirsch","R"
"Pretty Little Liars","Drama",NA,"I. Marlene King","Troian Bellisario","TV-14"
"Life on Mars (U.K.)","Crime",NA,"Matthew Graham","Philip Glenister","TV-14"
"Kickboxer","Action","Mark DiSalle","Glenn A. Bruce","Dennis Alexio","R"
"Killing Me Softly","Drama","Kaige Chen","Kara Lindstrom","Ulrich Thomsen","R"
"Wild Kratts","Animation",NA,"Chris Kratt","Jonathan Malen","TV-Y"
"Knowing","Action","Alex Proyas","Stiles White","Nicolas Cage","PG-13"
